driver_age,records,policies,exposure,claims,total_claim_amount,earned_premium,observed_frequency,average_claim_size,pure_premium,premium_per_exposure,loss_ratio,frequency_index,loss_ratio_index,credibility_flag,rolling_exposure_5,rolling_claims_5,rolling_frequency_5
16,241,241,138.71,24,67518.02,169432.65,0.17302,2813.25,486.75,1221.47,0.398495,2.05465,1.363346,Reviewable,369.58,58.0,0.156933
17,209,209,117.62,20,46117.29,143715.0,0.170044,2305.86,392.1,1221.89,0.320894,2.0193,1.097856,Reviewable,485.33,80.0,0.164835
18,219,219,113.25,14,53167.45,140448.49,0.123615,3797.68,469.45,1240.11,0.378555,1.467954,1.295127,Reviewable,613.95,99.0,0.161251
19,211,211,115.75,22,78696.04,144166.04,0.190065,3577.09,679.88,1245.5,0.545871,2.257062,1.867555,Reviewable,596.81,91.0,0.152477
20,240,240,128.62,19,52314.47,157624.62,0.147727,2753.39,406.75,1225.55,0.331893,1.75429,1.135485,Reviewable,600.39,90.0,0.149903
21,217,217,121.58,16,44435.66,149320.89,0.131605,2777.23,365.5,1228.21,0.297585,1.562839,1.01811,Reviewable,595.9,93.0,0.156065
22,218,218,121.19,19,65715.02,150583.37,0.156773,3458.69,542.23,1242.49,0.436403,1.861706,1.493039,Reviewable,582.49,84.0,0.144208
23,193,193,108.77,17,55947.78,134414.66,0.156294,3291.05,514.37,1235.78,0.416233,1.856019,1.424032,Reviewable,710.07,95.0,0.13379
24,194,194,102.34,13,45235.92,124626.48,0.12703,3479.69,442.02,1217.79,0.362972,1.508505,1.241814,Reviewable,836.45,97.0,0.115967
25,457,457,256.19,30,113141.53,216123.05,0.117099,3771.38,441.63,843.6,0.523505,1.390577,1.791037,Reviewable,960.83,95.0,0.098873
26,443,443,247.95,18,68543.09,208501.6,0.072595,3807.95,276.44,840.9,0.328741,0.862079,1.124703,Reviewable,1081.46,100.0,0.092467
27,444,444,245.58,17,41585.66,207610.95,0.069224,2446.22,169.34,845.39,0.200306,0.822043,0.685294,Reviewable,1219.91,109.0,0.089351
28,402,402,229.4,22,72377.84,194931.12,0.095903,3289.9,315.51,849.75,0.3713,1.138863,1.270305,Reviewable,1205.95,96.0,0.079605
29,430,430,240.78,22,64091.59,204329.26,0.091368,2913.25,266.18,848.6,0.313668,1.085018,1.073134,Reviewable,1203.93,97.0,0.080569
30,429,429,242.24,17,50149.03,207800.57,0.070179,2949.94,207.02,857.84,0.241332,0.833392,0.825657,Reviewable,1199.76,100.0,0.08335
31,445,445,245.93,19,64712.87,210411.15,0.077257,3405.94,263.13,855.57,0.307554,0.917447,1.052217,Reviewable,1209.03,109.0,0.090155
32,441,441,241.41,20,52076.51,203682.4,0.082845,2603.83,215.71,843.7,0.255675,0.983802,0.874726,Reviewable,1214.79,105.0,0.086435
33,442,442,238.66,31,91363.3,203936.76,0.12989,2947.2,382.81,854.49,0.447998,1.542463,1.53271,Reviewable,1226.43,101.0,0.082353
34,448,448,246.54,18,49575.84,207583.61,0.07301,2754.21,201.09,841.98,0.238823,0.867008,0.817073,Reviewable,1228.51,106.0,0.086284
35,461,461,253.88,13,25301.61,218036.4,0.051205,1946.28,99.66,858.82,0.116043,0.608074,0.397011,Reviewable,1217.88,106.0,0.087036
36,459,459,248.01,24,82557.08,211559.33,0.096772,3439.88,332.88,853.04,0.390231,1.149183,1.335075,Reviewable,1229.51,97.0,0.078893
37,428,428,230.79,20,59385.4,196790.66,0.086659,2969.27,257.31,852.68,0.301769,1.02909,1.032426,Reviewable,1220.77,98.0,0.080277
38,454,454,250.3,22,56579.11,214646.13,0.087896,2571.78,226.05,857.57,0.263592,1.043785,0.901813,Reviewable,1266.7,105.0,0.082893
39,441,441,237.8,19,65180.58,200652.93,0.079899,3430.56,274.1,843.79,0.324842,0.948814,1.111364,Reviewable,1291.64,94.0,0.072775
40,537,537,299.81,20,87643.98,255080.39,0.06671,4382.2,292.34,850.82,0.343594,0.792194,1.175516,Reviewable,1321.61,94.0,0.071126
41,506,506,272.95,13,65557.3,232942.61,0.047627,5042.87,240.18,853.42,0.281431,0.565584,0.962844,Reviewable,1331.75,90.0,0.06758
42,456,456,260.75,20,53907.36,223552.45,0.076701,2695.37,206.74,857.34,0.24114,0.910842,0.824997,Reviewable,1366.32,89.0,0.065138
43,471,471,260.44,18,56923.84,223034.73,0.069113,3162.44,218.57,856.37,0.255224,0.820733,0.873183,Reviewable,1352.32,90.0,0.066552
44,514,514,272.37,18,63686.39,232285.21,0.066086,3538.13,233.82,852.83,0.274173,0.784788,0.938013,Reviewable,1341.49,93.0,0.069326
45,506,506,285.81,21,57609.94,241613.61,0.073476,2743.33,201.57,845.37,0.238438,0.872545,0.815755,Reviewable,1358.63,92.0,0.067715
46,488,488,262.11,16,43626.43,222228.27,0.061042,2726.65,166.44,847.83,0.196314,0.724886,0.671636,Reviewable,1380.64,96.0,0.069533
47,522,522,277.89,19,60849.49,239397.81,0.068372,3202.6,218.97,861.48,0.254177,0.811928,0.869602,Reviewable,1388.84,100.0,0.072003
48,510,510,282.46,22,76473.73,241018.57,0.077887,3476.08,270.74,853.29,0.317294,0.924927,1.085539,Reviewable,1406.51,97.0,0.068965
49,517,517,280.57,22,67167.18,237937.17,0.078413,3053.05,239.4,848.06,0.28229,0.931165,0.96578,Reviewable,1422.46,97.0,0.068192
