vehicle_age,records,policies,exposure,claims,total_claim_amount,earned_premium,observed_frequency,average_claim_size,pure_premium,premium_per_exposure,loss_ratio,frequency_index,loss_ratio_index,credibility_flag,rolling_exposure_5,rolling_claims_5,rolling_frequency_5
0,1328,1328,740.06,50,146650.99,662377.58,0.067562,2933.02,198.16,895.03,0.221401,0.80231,0.757466,Reviewable,2219.6,151.0,0.06803
1,1345,1345,731.58,50,139716.9,655730.66,0.068345,2794.34,190.98,896.32,0.213071,0.811612,0.728966,Reviewable,2959.11,193.0,0.065222
2,1350,1350,747.96,51,124682.06,666305.94,0.068185,2444.75,166.7,890.83,0.187124,0.809716,0.640197,Reviewable,3824.16,257.0,0.067204
3,1340,1340,739.51,42,100169.83,665104.5,0.056794,2385.0,135.45,899.38,0.150608,0.674443,0.515265,Reviewable,3905.46,275.0,0.070414
4,1576,1576,865.05,64,211911.64,773885.94,0.073984,3311.12,244.97,894.61,0.273828,0.878577,0.936831,Reviewable,4043.67,295.0,0.072953
5,1492,1492,821.36,68,200232.43,732524.13,0.082789,2944.59,243.78,891.84,0.273346,0.98314,0.935182,Reviewable,4179.45,304.0,0.072737
6,1588,1588,869.79,70,219273.11,781342.89,0.080479,3132.47,252.1,898.31,0.280636,0.955706,0.960124,Reviewable,4182.09,321.0,0.076756
7,1610,1610,883.74,60,210746.82,801548.33,0.067893,3512.45,238.47,907.0,0.262925,0.806246,0.899528,Reviewable,3995.93,314.0,0.07858
8,1350,1350,742.15,59,200826.5,661479.47,0.079499,3403.84,270.6,891.3,0.303602,0.944064,1.038696,Reviewable,3901.28,315.0,0.080743
9,1252,1252,678.89,57,175497.3,605072.57,0.08396,3078.9,258.51,891.27,0.290043,0.997046,0.992308,Reviewable,3729.83,292.0,0.078288
10,1317,1317,726.71,69,244799.1,644940.58,0.094949,3547.81,336.86,887.48,0.379568,1.127532,1.298595,Reviewable,3540.17,303.0,0.085589
11,1244,1244,698.34,47,124735.97,622925.14,0.067303,2653.96,178.62,892.01,0.200242,0.799234,0.685077,Reviewable,3264.85,292.0,0.089437
12,1289,1289,694.09,71,230505.57,620505.73,0.102293,3246.56,332.1,893.99,0.37148,1.214745,1.270923,Reviewable,3048.43,288.0,0.094475
13,877,877,466.83,48,141672.46,418688.34,0.102822,2951.51,303.48,896.88,0.338372,1.221029,1.157652,Reviewable,2833.1,276.0,0.09742
14,848,848,462.47,53,175430.27,411594.34,0.114602,3310.01,379.33,889.99,0.426221,1.360926,1.458206,Reviewable,2584.83,282.0,0.109098
15,911,911,511.38,57,173781.93,450622.15,0.111462,3048.81,339.83,881.18,0.385649,1.323635,1.319398,Reviewable,2378.95,269.0,0.113075
16,811,811,450.06,53,155848.42,403292.9,0.117761,2940.54,346.28,896.08,0.38644,1.398432,1.322103,Reviewable,2419.82,270.0,0.111579
17,867,867,488.2,58,179537.0,433736.94,0.118803,3095.47,367.75,888.43,0.413931,1.410805,1.416156,Reviewable,2439.29,268.0,0.109868
18,923,923,507.7,49,150327.57,453858.1,0.096514,3067.91,296.1,893.96,0.331222,1.146126,1.133188,Reviewable,2371.57,242.0,0.102042
19,873,873,481.94,51,173264.05,428094.08,0.105823,3397.33,359.52,888.28,0.404734,1.256671,1.384691,Reviewable,1921.5,189.0,0.098361
20,809,809,443.66,31,112218.56,394878.68,0.069873,3619.95,252.94,890.04,0.284185,0.829754,0.972265,Reviewable,1433.3,131.0,0.091398
