risk_decile,records,policies,exposure,observed_claims,expected_claims,avg_expected_frequency,mean_deviance_residual,std_deviance_residual,observed_frequency,expected_frequency,oe_ratio,claim_difference
1,500,500,264.25,11,9.12,0.03433,-0.126223,0.384911,0.041628,0.034508,1.206331,1.88
2,500,500,267.18,11,12.34,0.046225,-0.160941,0.382699,0.04117,0.046202,0.89109,-1.34
3,500,500,275.78,16,15.04,0.054582,-0.157749,0.440755,0.058017,0.054542,1.06371,0.96
4,500,500,271.53,13,17.06,0.062892,-0.187818,0.404426,0.047878,0.06283,0.762021,-4.06
5,500,500,277.99,28,19.57,0.070389,-0.138039,0.557425,0.100722,0.070402,1.430659,8.43
6,500,500,271.07,18,21.61,0.079648,-0.20473,0.439921,0.066403,0.079719,0.832955,-3.61
7,500,500,277.13,27,24.66,0.088908,-0.179664,0.522887,0.097429,0.088998,1.094725,2.34
8,500,500,281.25,36,29.05,0.103275,-0.174502,0.574096,0.127998,0.103288,1.239235,6.95
9,500,500,271.47,25,33.79,0.12401,-0.247914,0.496652,0.092092,0.124454,0.739962,-8.79
10,500,500,275.04,49,51.31,0.186278,-0.232923,0.633217,0.178154,0.186548,0.955004,-2.31
