term,coefficient,std_error,z_value,p_value,ci_lower,ci_upper,relativity,relativity_ci_lower,relativity_ci_upper
Intercept,-2.717984,0.154613,-17.579308,0.0,-3.021019,-2.414949,0.066008,0.048752,0.089372
C(territory)[T.Suburban],0.445861,0.114839,3.882493,0.000103,0.220781,0.670941,1.561835,1.24705,1.956078
C(territory)[T.Urban A],0.890709,0.111752,7.970379,0.0,0.671678,1.10974,2.436857,1.95752,3.033569
C(territory)[T.Urban B],0.606914,0.116495,5.209802,0.0,0.378589,0.835239,1.83476,1.460222,2.305365
C(driver_age_band)[T.25-39],-0.682046,0.108299,-6.297785,0.0,-0.894309,-0.469783,0.505581,0.40889,0.625138
C(driver_age_band)[T.40-64],-0.882962,0.100827,-8.757223,0.0,-1.080579,-0.685346,0.413556,0.339399,0.503916
C(driver_age_band)[T.65+],-0.393056,0.113757,-3.45524,0.00055,-0.616015,-0.170097,0.674991,0.540093,0.843583
C(vehicle_age_band)[T.13+],0.515513,0.099032,5.205518,0.0,0.321414,0.709612,1.674497,1.379076,2.033203
C(vehicle_age_band)[T.4-7],0.163639,0.106919,1.530491,0.125895,-0.045919,0.373197,1.177789,0.955119,1.452371
C(vehicle_age_band)[T.8-12],0.321744,0.103717,3.10212,0.001921,0.118461,0.525026,1.379531,1.125763,1.690503
C(vehicle_type)[T.Sedan],-0.043896,0.077651,-0.565303,0.571868,-0.19609,0.108297,0.957053,0.821938,1.114379
C(vehicle_type)[T.Sports],0.672837,0.125511,5.360782,0.0,0.42684,0.918834,1.95979,1.532408,2.506367
C(vehicle_type)[T.Truck],0.199727,0.099343,2.010477,0.044381,0.005018,0.394436,1.221069,1.005031,1.483547
