model,sample,records,parameters,exposure,observed_claims,expected_claims,observed_frequency,expected_frequency,total_oe_ratio,poisson_deviance,mean_poisson_deviance,train_aic
null_offset_only,train,20000,1,11018.78,924,924.0,0.083857,0.083857,1.0,5567.599465,0.27838,7381.555812
null_offset_only,test,5000,1,2732.69,234,229.16,0.08563,0.083857,1.021142,1415.189055,0.283038,7381.555812
categorical_age_bands,train,20000,13,11018.78,924,924.0,0.083857,0.083857,1.0,5349.020485,0.267451,7186.976832
categorical_age_bands,test,5000,13,2732.69,234,233.55,0.08563,0.085467,1.00191,1371.95584,0.274391,7186.976832
continuous_linear_age,train,20000,9,11018.78,924,924.0,0.083857,0.083857,1.0,5429.577289,0.271479,7259.533635
continuous_linear_age,test,5000,9,2732.69,234,231.63,0.08563,0.084762,1.010239,1384.523784,0.276905,7259.533635
continuous_quadratic_age,train,20000,11,11018.78,924,924.0,0.083857,0.083857,1.0,5371.627105,0.268581,7205.583452
continuous_quadratic_age,test,5000,11,2732.69,234,233.67,0.08563,0.085511,1.001393,1376.268736,0.275254,7205.583452
hybrid_driver_band_vehicle_quadratic,train,20000,12,11018.78,924,924.0,0.083857,0.083857,1.0,5353.835281,0.267692,7189.791628
hybrid_driver_band_vehicle_quadratic,test,5000,12,2732.69,234,233.63,0.08563,0.085495,1.001578,1372.729712,0.274546,7189.791628
