sample,policy_id,exposure,claim_count,expected_claims_benchmark,expected_frequency_benchmark,pearson_residual,deviance_residual,abs_deviance_residual,quantile_residual,abs_quantile_residual,territory,driver_age,driver_age_band,vehicle_age,vehicle_age_band,vehicle_type
train,20491,0.26,0,0.02,0.095997,-0.157498,-0.222736,0.222736,-4.208635,4.208635,Suburban,80,65+,10,8-12,SUV
train,15976,0.66,0,0.03,0.050222,-0.182599,-0.258235,0.258235,-4.124109,4.124109,Rural,81,65+,7,4-7,Sedan
test,13050,0.17,2,0.02,0.112188,14.528009,3.840311,3.840311,4.012183,4.012183,Urban A,30,25-39,9,8-12,SUV
train,9313,0.33,0,0.02,0.068326,-0.149839,-0.211905,0.211905,-3.893015,3.893015,Suburban,60,40-64,14,13+,Sedan
test,17883,0.58,2,0.03,0.049883,11.547095,3.602018,3.602018,3.822916,3.822916,Suburban,33,25-39,3,0-3,Sedan
train,2828,0.3,0,0.04,0.137703,-0.202572,-0.28648,0.28648,-3.708071,3.708071,Urban B,69,65+,8,8-12,Truck
train,16365,0.39,0,0.03,0.084368,-0.180484,-0.255244,0.255244,-3.670785,3.670785,Urban B,41,40-64,8,8-12,Truck
train,20129,0.14,1,0.01,0.050085,12.002674,2.825189,2.825189,3.555582,3.555582,Urban B,43,40-64,3,0-3,SUV
train,18410,0.66,0,0.02,0.03077,-0.142583,-0.201643,0.201643,-3.548349,3.548349,Rural,53,40-64,4,4-7,Sedan
train,11403,0.25,1,0.02,0.081323,6.889386,2.417045,2.417045,3.531708,3.531708,Urban A,35,25-39,0,0-3,SUV
train,1125,0.48,2,0.06,0.116523,8.210306,3.226467,3.226467,3.455982,3.455982,Suburban,74,65+,18,13+,SUV
train,10048,0.49,2,0.03,0.05629,11.932856,3.636826,3.636826,3.454548,3.454548,Suburban,58,40-64,9,8-12,Sedan
train,7965,0.24,0,0.02,0.066521,-0.127584,-0.180431,0.180431,-3.423287,3.423287,Urban A,50,40-64,1,0-3,SUV
train,839,0.48,2,0.03,0.0586,11.791453,3.624227,3.624227,3.412373,3.412373,Urban B,39,25-39,1,0-3,Sedan
train,6709,0.65,2,0.1,0.156146,5.982688,2.855441,2.855441,3.394092,3.394092,Urban A,84,65+,6,4-7,Truck
train,17553,0.43,0,0.02,0.039305,-0.12946,-0.183084,0.183084,-3.345962,3.345962,Rural,26,25-39,4,4-7,SUV
train,21900,0.82,0,0.07,0.083867,-0.262307,-0.370957,0.370957,-3.339507,3.339507,Urban B,52,40-64,19,13+,SUV
test,896,0.89,0,0.08,0.089582,-0.282822,-0.39997,0.39997,-3.302657,3.302657,Rural,62,40-64,16,13+,Sports
train,9663,0.34,0,0.02,0.061157,-0.14369,-0.203208,0.203208,-3.285979,3.285979,Urban B,45,40-64,1,0-3,Truck
train,4325,0.28,0,0.01,0.037617,-0.102886,-0.145503,0.145503,-3.264478,3.264478,Rural,31,25-39,7,4-7,Sedan
train,19928,0.6,0,0.03,0.050215,-0.173794,-0.245781,0.245781,-3.262985,3.262985,Suburban,62,40-64,6,4-7,SUV
train,12714,0.56,1,0.03,0.058816,5.318968,2.210349,2.210349,3.261702,3.261702,Suburban,43,40-64,8,8-12,SUV
test,23510,0.86,2,0.06,0.069587,7.930429,3.186822,3.186822,3.254011,3.254011,Suburban,77,65+,2,0-3,SUV
train,2640,0.28,1,0.01,0.045983,8.723473,2.59639,2.59639,3.248557,3.248557,Rural,58,40-64,12,8-12,Truck
train,53,0.81,0,0.05,0.05629,-0.213292,-0.301641,0.301641,-3.229725,3.229725,Suburban,47,40-64,11,8-12,Sedan
