territory,driver_age_band,records,policies,exposure,claims,total_claim_amount,earned_premium,observed_frequency,average_claim_size,pure_premium,premium_per_exposure,loss_ratio,frequency_index,loss_ratio_index,credibility_flag,diagnostic_note,suggested_review
Urban A,16-24,492,492,268.2219,64,211455.58,379931.93,0.238608,3303.993438,788.360607,1416.483628,0.556562,2.833521,1.904132,Reviewable,High frequency with sufficient volume,Review pricing relativities and underwriting rules
Urban B,16-24,448,448,249.4914,44,124946.61,308996.19,0.176359,2839.695682,500.805278,1238.504373,0.404363,2.094295,1.383423,Reviewable,High frequency with sufficient volume,Review pricing relativities and underwriting rules
Urban A,65+,978,978,544.0831,87,256274.34,584155.55,0.159902,2945.682069,471.020585,1073.651341,0.438709,1.898868,1.500929,Reviewable,High frequency with sufficient volume,Review pricing relativities and underwriting rules
Suburban,16-24,611,611,338.8059,42,128577.68,386252.55,0.123965,3061.373333,379.502482,1140.040802,0.332885,1.472106,1.13888,Reviewable,Monitor,No immediate action; include in recurring monitoring
Urban A,25-39,1623,1623,890.6097,102,342009.51,869308.21,0.114528,3353.034412,384.017275,976.082127,0.393427,1.360045,1.346009,Reviewable,Monitor,No immediate action; include in recurring monitoring
Suburban,65+,1147,1147,628.6261,64,176289.96,546057.03,0.101809,2754.530625,280.436908,868.65154,0.322842,1.209005,1.104519,Reviewable,Monitor,No immediate action; include in recurring monitoring
Urban B,65+,953,953,517.2015,49,145684.0,488997.83,0.094741,2973.142857,281.677451,945.4687,0.297924,1.125063,1.019268,Reviewable,Monitor,No immediate action; include in recurring monitoring
Urban B,25-39,1622,1622,886.9638,78,238528.19,766002.26,0.08794,3058.053718,268.926635,863.622912,0.311394,1.04431,1.065352,Reviewable,Monitor,No immediate action; include in recurring monitoring
Urban A,40-64,3129,3129,1703.8191,144,471176.32,1666715.36,0.084516,3272.057778,276.541283,978.223193,0.282698,1.003644,0.967176,Reviewable,Monitor,No immediate action; include in recurring monitoring
Suburban,25-39,2085,2085,1157.0943,94,279351.38,907580.26,0.081238,2971.823191,241.424904,784.361534,0.307798,0.964717,1.053051,Reviewable,Monitor,No immediate action; include in recurring monitoring
Urban B,40-64,3128,3128,1717.9992,128,420963.42,1480436.78,0.074505,3288.776719,245.031208,861.721461,0.284351,0.884764,0.972833,Reviewable,Monitor,No immediate action; include in recurring monitoring
Rural,65+,748,748,410.0826,28,65740.9,353838.51,0.068279,2347.889286,160.311362,862.846924,0.185794,0.810825,0.635644,Reviewable,Monitor,No immediate action; include in recurring monitoring
Rural,16-24,391,391,211.3073,14,44167.78,239151.53,0.066254,3154.841429,209.021553,1131.771264,0.184685,0.786782,0.631853,Low claim count,Monitor,No immediate action; include in recurring monitoring
Suburban,40-64,3811,3811,2111.9813,122,394129.64,1651483.74,0.057766,3230.57082,186.616065,781.959452,0.238652,0.685978,0.816485,Reviewable,Monitor,No immediate action; include in recurring monitoring
Rural,25-39,1294,1294,720.7994,38,96731.96,563705.19,0.052719,2545.577895,134.200944,782.055576,0.1716,0.626051,0.587086,Reviewable,Monitor,No immediate action; include in recurring monitoring
