segment,territory,driver_age_band,records,policies,exposure,observed_claims,expected_claims,claim_difference,observed_frequency,expected_frequency,frequency_index,loss_ratio,loss_ratio_index,oe_ratio,total_claim_amount,earned_premium,credibility_flag,warning_level,priority_score,reason,recommended_action
Urban A | 16-24,Urban A,16-24,492,492,268.22,64,60.39,3.61,0.238608,0.225147,2.833521,0.556562,1.904132,1.059791,211455.58,379931.93,Reviewable,Escalate,0.929731,high frequency index; high loss ratio index,Escalate to pricing and underwriting review; validate data before action
Urban B | 16-24,Urban B,16-24,448,448,249.49,44,41.52,2.48,0.176359,0.166405,2.094295,0.404363,1.383423,1.059816,124946.61,308996.19,Reviewable,Escalate,0.508319,high frequency index; high loss ratio index,Escalate to pricing and underwriting review; validate data before action
Urban A | 65+,Urban A,65+,978,978,544.08,87,82.03,4.97,0.159902,0.150762,1.898868,0.438709,1.500929,1.060624,256274.34,584155.55,Reviewable,Escalate,0.49694,high frequency index; high loss ratio index,Escalate to pricing and underwriting review; validate data before action
Urban A | 25-39,Urban A,25-39,1623,1623,890.61,102,100.31,1.69,0.114528,0.11263,1.360045,0.393427,1.346009,1.01685,342009.51,869308.21,Reviewable,Escalate,0.251118,high frequency index; high loss ratio index,Escalate to pricing and underwriting review; validate data before action
Suburban | 16-24,Suburban,16-24,611,611,338.81,42,49.98,-7.98,0.123965,0.147511,1.472106,0.332885,1.13888,0.840375,128577.68,386252.55,Reviewable,Investigate,0.205485,high frequency index; moderately elevated loss ratio index,"Investigate frequency, severity, premium adequacy, and segment mix"
Suburban | 65+,Suburban,65+,1147,1147,628.63,64,62.34,1.66,0.101809,0.099165,1.209005,0.322842,1.104519,1.026663,176289.96,546057.03,Reviewable,Investigate,0.115757,moderately elevated frequency index; moderately elevated loss ratio index,"Investigate frequency, severity, premium adequacy, and segment mix"
Suburban | 25-39,Suburban,25-39,2085,2085,1157.09,94,85.05,8.95,0.081238,0.073506,0.964717,0.307798,1.053051,1.105182,279351.38,907580.26,Reviewable,Monitor,0.050122,observed claims above expected,Monitor trend or aggregate with similar segments before acting
Urban B | 65+,Urban B,65+,953,953,517.2,49,58.83,-9.83,0.094741,0.11375,1.125063,0.297924,1.019268,0.832886,145684.0,488997.83,Reviewable,Monitor,0.049312,moderately elevated frequency index,Monitor trend or aggregate with similar segments before acting
Rural | 25-39,Rural,25-39,1294,1294,720.8,38,34.11,3.89,0.052719,0.047321,0.626051,0.1716,0.587086,1.114078,96731.96,563705.19,Reviewable,Monitor,0.033818,observed claims above expected,Monitor trend or aggregate with similar segments before acting
Rural | 40-64,Rural,40-64,2540,2540,1394.39,60,54.41,5.59,0.04303,0.039022,0.510986,0.178668,0.611265,1.102698,195801.21,1095896.07,Reviewable,Monitor,0.030809,observed claims above expected,Monitor trend or aggregate with similar segments before acting
Urban B | 25-39,Urban B,25-39,1622,1622,886.96,78,76.64,1.36,0.08794,0.086403,1.04431,0.311394,1.065352,1.017793,238528.19,766002.26,Reviewable,No immediate action,0.04353,within monitoring range,No immediate action; include in recurring portfolio monitoring
Rural | 65+,Rural,65+,748,748,410.08,28,25.86,2.14,0.068279,0.063055,0.810825,0.185794,0.635644,1.082849,65740.9,353838.51,Reviewable,No immediate action,0.024054,within monitoring range,No immediate action; include in recurring portfolio monitoring
Urban B | 40-64,Urban B,40-64,3128,3128,1718.0,128,120.09,7.91,0.074505,0.069902,0.884764,0.284351,0.972833,1.065859,420963.42,1480436.78,Reviewable,No immediate action,0.019758,within monitoring range,No immediate action; include in recurring portfolio monitoring
Urban A | 40-64,Urban A,40-64,3129,3129,1703.82,144,160.07,-16.07,0.084516,0.093946,1.003644,0.282698,0.967176,0.899621,471176.32,1666715.36,Reviewable,No immediate action,0.001275,within monitoring range,No immediate action; include in recurring portfolio monitoring
Suburban | 40-64,Suburban,40-64,3811,3811,2111.98,122,126.77,-4.77,0.057766,0.060025,0.685978,0.238652,0.816485,0.962365,394129.64,1651483.74,Reviewable,No immediate action,0.0,within monitoring range,No immediate action; include in recurring portfolio monitoring
Rural | 16-24,Rural,16-24,391,391,211.31,14,19.17,-5.17,0.066254,0.090701,0.786782,0.184685,0.631853,0.730471,44167.78,239151.53,Low claim count,No immediate action,0.0,limited credibility,No immediate action; include in recurring portfolio monitoring
