territory,vehicle_type,records,policies,exposure,claims,total_claim_amount,earned_premium,observed_frequency,average_claim_size,pure_premium,premium_per_exposure,loss_ratio,frequency_index,loss_ratio_index,credibility_flag
Urban A,Sports,295,295,159.9592,35,147032.52,227058.86,0.218806,4200.929143,919.187643,1419.479842,0.647552,2.598361,2.215433,Reviewable
Suburban,Sports,366,366,205.5711,32,106647.86,235764.19,0.155664,3332.745625,518.788195,1146.874196,0.45235,1.848539,1.547597,Reviewable
Urban B,Sports,302,302,157.5243,24,84239.88,195469.19,0.152357,3509.995,534.773873,1240.882772,0.430962,1.809274,1.474426,Reviewable
Urban A,Truck,905,905,482.1376,65,222494.16,549453.92,0.134816,3422.987077,461.474401,1139.620556,0.404937,1.600969,1.385386,Reviewable
Rural,Sports,259,259,146.602,17,59852.79,165822.36,0.11596,3520.752353,408.267213,1131.105715,0.360945,1.37705,1.23488,Low claim count
Urban A,SUV,2051,2051,1120.5388,128,351071.26,1107679.04,0.114231,2742.744219,313.30576,988.523592,0.316943,1.356512,1.084339,Reviewable
Urban B,Truck,924,924,517.0442,56,183881.87,512587.03,0.108308,3283.604821,355.640524,991.379518,0.358733,1.286178,1.227312,Reviewable
Urban A,Sedan,2971,2971,1644.0982,169,560317.81,1615919.23,0.102792,3315.49,340.805561,982.860531,0.346749,1.220674,1.186311,Reviewable
Urban B,SUV,1988,1988,1081.942,98,306214.01,938059.28,0.090578,3124.632755,283.022574,867.014387,0.326434,1.07563,1.116808,Reviewable
Suburban,Truck,1213,1213,667.5503,60,203712.97,608200.04,0.089881,3395.216167,305.164974,911.092453,0.334944,1.067353,1.145924,Reviewable
Urban B,Sedan,2937,2937,1615.1454,121,355786.46,1398317.56,0.074916,2940.383967,220.281381,865.753362,0.254439,0.88964,0.870497,Reviewable
Suburban,SUV,2430,2430,1330.0394,92,267083.02,1046461.17,0.069171,2903.076304,200.808352,786.789602,0.255225,0.821418,0.873186,Reviewable
Suburban,Sedan,3645,3645,2033.3468,138,400904.81,1600948.18,0.067868,2905.107319,197.164994,787.346349,0.250417,0.80595,0.856737,Reviewable
Rural,Sedan,2423,2423,1312.8323,66,186477.2,1031429.09,0.050273,2825.412121,142.041904,785.651823,0.180795,0.597001,0.618543,Reviewable
Rural,SUV,1587,1587,883.4108,40,97930.36,697882.36,0.045279,2448.259,110.854837,789.986222,0.140325,0.537697,0.480086,Reviewable
Rural,Truck,704,704,393.7307,17,58181.5,357457.49,0.043177,3422.441176,147.769783,907.873046,0.162765,0.512732,0.556858,Low claim count
