vehicle_type,vehicle_age_band,records,policies,exposure,claims,total_claim_amount,earned_premium,observed_frequency,average_claim_size,pure_premium,premium_per_exposure,loss_ratio,frequency_index,loss_ratio_index,credibility_flag
Sports,13+,346,346,186.4648,45,168773.91,230243.67,0.241332,3750.531333,905.124774,1234.783562,0.733023,2.865869,2.507848,Reviewable
Sports,4-7,327,327,181.7988,24,82849.24,222828.98,0.132014,3452.051667,455.7194,1225.690049,0.371806,1.567693,1.272039,Reviewable
Sports,8-12,276,276,153.831,20,88049.06,188976.02,0.130013,4402.453,572.375269,1228.465134,0.465927,1.543927,1.594049,Reviewable
Sports,0-3,273,273,147.562,19,58100.84,182065.93,0.128759,3057.938947,393.738496,1233.826663,0.31912,1.529043,1.091786,Low claim count
Truck,13+,1029,1029,558.2418,67,216198.74,548733.61,0.12002,3226.846866,387.285116,982.967614,0.393996,1.425257,1.347954,Reviewable
Truck,8-12,943,943,524.5481,55,193923.12,513031.73,0.104852,3525.874909,369.695591,978.045159,0.377994,1.24514,1.29321,Reviewable
SUV,8-12,2102,2102,1134.2109,109,327739.22,975390.51,0.096102,3006.781835,288.957918,859.972788,0.336008,1.14123,1.149565,Reviewable
Sedan,13+,3292,3292,1823.9372,174,555144.25,1554201.22,0.095398,3190.484195,304.365879,852.11334,0.357189,1.13287,1.222031,Reviewable
SUV,13+,2252,2252,1243.6005,114,321963.36,1061587.03,0.091669,2824.24,258.896133,853.639919,0.303285,1.088591,1.037611,Reviewable
Truck,4-7,938,938,518.2939,44,169830.14,513263.97,0.084894,3859.775909,327.671501,990.295217,0.330883,1.008132,1.132029,Reviewable
Sedan,4-7,3021,3021,1642.6432,119,365512.67,1408264.54,0.072444,3071.535042,222.51495,857.316148,0.259548,0.860289,0.887977,Reviewable
Truck,0-3,836,836,459.379,32,88318.5,452669.17,0.069659,2759.953125,192.256285,985.393695,0.195106,0.827217,0.667505,Reviewable
Sedan,8-12,3131,3131,1727.583,119,366653.04,1477525.23,0.068882,3081.117983,212.234689,855.255713,0.248153,0.817991,0.848993,Reviewable
SUV,4-7,1980,1980,1097.2056,75,223971.95,944943.8,0.068355,2986.292667,204.129427,861.22765,0.237021,0.811734,0.810907,Reviewable
SUV,0-3,1722,1722,940.914,60,148624.12,808160.51,0.063768,2477.068667,157.957178,858.91007,0.183904,0.757255,0.629181,Reviewable
Sedan,0-3,2532,2532,1411.2593,82,216176.32,1206623.07,0.058104,2636.296585,153.179731,854.997427,0.179158,0.689998,0.612943,Reviewable
