territory,driver_age_band,policies,exposure,claims,total_claim_amount,earned_premium,observed_frequency,average_claim_size,loss_ratio
Urban A,16-24,492,268.2219,64,211455.58000000002,379931.93,0.23860840595044625,3303.9934375000003,0.5565617504167129
Urban B,16-24,448,249.4914,44,124946.61,308996.19,0.1763587843108019,2839.695681818182,0.4043629469994436
Urban A,65+,978,544.0831,87,256274.34,584155.55,0.15990204437520666,2945.6820689655174,0.4387090732939197
Suburban,16-24,611,338.8059,42,128577.68,386252.55,0.12396478337596836,3061.373333333333,0.3328849997236264
Urban A,25-39,1623,890.6097,102,342009.51,869308.21,0.11452828326482409,3353.034411764706,0.393427217258192
Suburban,65+,1147,628.6261,64,176289.96,546057.03,0.10180932672060547,2754.530625,0.3228416636262333
Urban B,65+,953,517.2015,49,145684.0,488997.83,0.09474063783651053,2973.1428571428573,0.29792361246265653
Urban B,25-39,1622,886.9638,78,238528.19,766002.26,0.08794045484156174,3058.053717948718,0.3113935851834171
Urban A,40-64,3129,1703.8191,144,471176.32,1666715.36,0.08451601464028664,3272.057777777778,0.28269753270888437
Suburban,25-39,2085,1157.0943,94,279351.38,907580.26,0.08123797688744988,2971.8231914893618,0.3077979902295363
Urban B,40-64,3128,1717.9992,128,420963.42,1480436.78,0.07450527334354987,3288.77671875,0.2843508251666106
Rural,65+,748,410.0826,28,65740.9,353838.51,0.06827892722100376,2347.8892857142855,0.18579351354379148
Rural,16-24,391,211.3073,14,44167.78,239151.53,0.0662542183824222,3154.8414285714284,0.1846853331860348
Suburban,40-64,3811,2111.9813,122,394129.64,1651483.74,0.05776566298195917,3230.570819672131,0.2386518440684133
Rural,25-39,1294,720.7994,38,96731.96,563705.19,0.05271924477184637,2545.577894736842,0.17160026502505682
Rural,40-64,2540,1394.3865,60,195801.21,1095896.07,0.04302967649213471,3263.3534999999997,0.17866768150742615
